icd_code,icd_version,long_title,cancer_type
C441121,10,"Basal cell carcinoma of skin of right upper eyelid, including canthus",Other malignant neoplasms of skin
C44301,10,Unspecified malignant neoplasm of skin of nose,Other malignant neoplasms of skin
C4722,10,"Malignant neoplasm of peripheral nerves of left lower limb, including hip",Malignant neoplasm of peripheral nerves
C4A52,10,Merkel cell carcinoma of skin of breast,Merkel cell carcinoma
C4A59,10,Merkel cell carcinoma of other part of trunk,Merkel cell carcinoma
C503,10,Malignant neoplasm of lower-inner quadrant of breast,Breast Cancer
C5091,10,"Malignant neoplasm of breast of unspecified site, female",Breast Cancer
C51,10,Malignant neoplasm of vulva,Malignant neoplasm of vulva
C577,10,Malignant neoplasm of other specified female genital organs,Malignant neoplasm of other female genital organs
C58,10,Malignant neoplasm of placenta,Malignant neoplasm of placenta
C6202,10,Malignant neoplasm of undescended left testis,Malignant neoplasm of testis
C6312,10,Malignant neoplasm of left spermatic cord,Malignant neoplasm of other male genital organs
C66,10,Malignant neoplasm of ureter,Malignant neoplasm of ureter
C6912,10,Malignant neoplasm of left cornea,Malignant neoplasm of eye and adnexa
C6990,10,Malignant neoplasm of unspecified site of unspecified eye,Malignant neoplasm of eye and adnexa
C701,10,Malignant neoplasm of spinal meninges,Malignant neoplasm of meninges
C770,10,"Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck",Secondary and unspecified malignant neoplasm of lymph nodes
C7961,10,Secondary malignant neoplasm of right ovary,Secondary malignant neoplasm of other sites
C8137,10,"Lymphocyte depleted Hodgkin lymphoma, spleen",Hodgkin lymphoma
C8236,10,"Follicular lymphoma grade IIIa, intrapelvic lymph nodes",Non-Hodgkin Lymphoma
C8288,10,"Other types of follicular lymphoma, lymph nodes of multiple sites",Non-Hodgkin Lymphoma
C8478,10,"Anaplastic large cell lymphoma, ALK-negative, lymph nodes of multiple sites",Mature T/NK-cell lymphomas
C84A9,10,"Cutaneous T-cell lymphoma, unspecified, extranodal and solid organ sites",Mature T/NK-cell lymphomas
C8517,10,"Unspecified B-cell lymphoma, spleen",Other specified and unspecified types of non-Hodgkin lymphoma
C9331,10,"Juvenile myelomonocytic leukemia, in remission",Monocytic leukemia
C944,10,Acute panmyelosis with myelofibrosis,Other leukemias of specified cell types
C9622,10,Mast cell sarcoma,"Other and unspecified malignant neoplasms of lymphoid, hematopoietic, and related tissue"
C131,10,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",Malignant neoplasm of hypopharynx
C182,10,Malignant neoplasm of ascending colon,Gastrointestinal Cancer
C25,10,Malignant neoplasm of pancreas,Malignant neoplasm of pancreas
C400,10,Malignant neoplasm of scapula and long bones of upper limb,Malignant neoplasm of bone and articular cartilage of limbs
C4032,10,Malignant neoplasm of short bones of left lower limb,Malignant neoplasm of bone and articular cartilage of limbs
C4311,10,"Malignant melanoma of right eyelid, including canthus",Malignant melanoma of skin
C441322,10,"Sebaceous cell carcinoma of skin of right lower eyelid, including canthus",Other malignant neoplasms of skin
C44300,10,Unspecified malignant neoplasm of skin of unspecified part of face,Other malignant neoplasms of skin
C4431,10,Basal cell carcinoma of skin of other and unspecified parts of face,Other malignant neoplasms of skin
C45,10,Mesothelioma,Mesothelioma
C4911,10,"Malignant neoplasm of connective and soft tissue of right upper limb, including shoulder",Malignant neoplasm of other connective tissues
C4A6,10,"Merkel cell carcinoma of upper limb, including shoulder",Merkel cell carcinoma
C4A60,10,"Merkel cell carcinoma of unspecified upper limb, including shoulder",Merkel cell carcinoma
C50,10,Malignant neoplasm of breast,Breast Cancer
C50121,10,Malignant neoplasm of central portion of right male breast,Breast Cancer
C50122,10,Malignant neoplasm of central portion of left male breast,Breast Cancer
